companyname,stateincorp,ticker,year,sic,totalassets,costofgoodssold,netincome,sale,advertising,sellingadmin,mktvalue,commonequity,totalliability
AMERICAN AIRLINES GROUP INC,DE,AAL,2008,4512,25175,20232,-2071,23766,153,3024,2976.3858,-2935,28110
AMERICAN AIRLINES GROUP INC,DE,AAL,2009,4512,25438,16935,-1468,19917,153,2720,2571.1835,-3489,28927
AMERICAN AIRLINES GROUP INC,DE,AAL,2010,4512,25088,18138,-471,22170,165,2729,2597.5755,-3945,29033
AMERICAN AIRLINES GROUP INC,DE,AAL,2011,4512,23848,20420,-1979,24022,186,2907,117.3438,-7111,30959
AMERICAN AIRLINES GROUP INC,DE,AAL,2012,4512,23510,20529,-1876,24855,153,2892,266.5571,-7987,31497
AMERICAN AIRLINES GROUP INC,DE,AAL,2013,4512,42278,19084,-1834,26712,166,4672,6591.9923,-2731,45009
AMERICAN AIRLINES GROUP INC,DE,AAL,2014,4512,43771,29511,2882,42650,100,6554,37405.5843,2021,41750
AMERICAN AIRLINES GROUP INC,DE,AAL,2015,4512,48415,25416,7610,40990,110,6683,26452.7417,5635,42780
AMERICAN AIRLINES GROUP INC,DE,AAL,2016,4512,51274,25695,2676,40180,116,6652,23685.5569,3785,47489
AMERICAN AIRLINES GROUP INC,DE,AAL,2017,4512,51396,28262,1919,42207,135,7136,24740.6812,3926,47470
CECO ENVIRONMENTAL CORP,DE,CECE,2008,3564,120.017,172.874,5.01,217.89,0.985,33.645,34.6617,44.513,75.504
CECO ENVIRONMENTAL CORP,DE,CECE,2009,3564,77.515,106.283,-15.032,138.985,0.606,28.903,56.4416,31.76,45.755
CECO ENVIRONMENTAL CORP,DE,CECE,2010,3564,74.791,106.692,2.105,140.602,0.324,27.512,85.3412,35.174,39.617
CECO ENVIRONMENTAL CORP,DE,CECE,2011,3564,79.345,100.066,8.272,139.192,0.205,25.359,80.5638,42.99,36.355
CECO ENVIRONMENTAL CORP,DE,CECE,2012,3564,94.104,91.69,10.85,135.052,0.189,25.429,168.7421,61.994,32.11
CECO ENVIRONMENTAL CORP,DE,CECE,2013,3564,348.536,134.576,6.557,197.317,0.5,37.098,413.2812,170.406,178.13
CECO ENVIRONMENTAL CORP,DE,CECE,2014,3564,414.365,176.177,13.077,263.217,1,51.44,408.1892,181.224,233.141
CECO ENVIRONMENTAL CORP,DE,CECE,2015,3564,598.819,254.922,-5.602,367.422,1,67.329,260.4902,239.153,353.798
CECO ENVIRONMENTAL CORP,DE,CECE,2016,3564,498.634,278.049,-38.218,417.011,0.9,82.743,476.5599,190.082,308.552
CECO ENVIRONMENTAL CORP,DE,CECE,2017,3564,438.549,229.511,-3.029,345.051,0.9,87.475,177.3441,186.569,251.98
PROG HOLDINGS INC,GA,PRG,2008,6141,1233.27,309.737,90.189,1592.608,28.5,664.08,1389.332,761.544,471.726
PROG HOLDINGS INC,GA,PRG,2009,6141,1321.456,325.457,112.601,1752.787,54.4,722.056,1463.4506,887.26,434.196
PROG HOLDINGS INC,GA,PRG,2010,6141,1502.072,353.931,118.376,1876.847,58.9,779.55,1632.9739,979.417,522.655
PROG HOLDINGS INC,GA,PRG,2011,6141,1735.149,376.483,113.767,2024.049,64.3,821.204,2018.0752,976.554,758.595
PROG HOLDINGS INC,GA,PRG,2012,6141,1812.929,411.076,173.043,2222.588,36.5,895.479,2141.3616,1136.126,676.803
PROG HOLDINGS INC,GA,PRG,2013,6141,1827.176,361.899,120.666,2234.631,43,965.668,2144.9358,1139.963,687.213
PROG HOLDINGS INC,GA,PRG,2014,6141,2456.844,354.598,78.233,2725.239,50.5,1176.407,2215.9582,1223.521,1233.323
PROG HOLDINGS INC,GA,PRG,2015,6141,2658.875,372.817,135.709,3179.756,39.334,1269.975,1625.514,1366.618,1292.257
PROG HOLDINGS INC,GA,PRG,2016,6141,2615.736,295.188,139.283,3207.716,40.823,1265.724,2285.6535,1481.598,1134.138
PROG HOLDINGS INC,GA,PRG,2017,6141,2692.264,258.934,292.536,3383.708,34.026,1318.037,2790.2572,1728.004,964.26
ACME UNITED CORP,CT,ACU,2008,3420,45.424,40.054,4.467,68.719,1.1595,20.778,23.5682,22.888,22.536
ACME UNITED CORP,CT,ACU,2009,3420,42.309,36.157,2.842,59.149,1.067,19.047,29.0514,24.541,17.768
ACME UNITED CORP,CT,ACU,2010,3420,49.581,38.914,2.573,63.149,1.039,20.385,29.2169,25.352,24.229
ACME UNITED CORP,CT,ACU,2011,3420,55.222,46,2.811,73.302,1.24,21.915,29.7825,27.775,27.447
ACME UNITED CORP,CT,ACU,2012,3420,67.828,53.533,3.549,84.37,1.521,24.386,34.5,30.866,36.962
ACME UNITED CORP,CT,ACU,2013,3420,68.079,56.548,4.003,89.577,1.485,25.945,47.6949,35.005,33.074
ACME UNITED CORP,CT,ACU,2014,3420,79.308,67.137,4.789,107.222,1.661,30.691,65.7871,39.428,39.88
ACME UNITED CORP,CT,ACU,2015,3420,81.421,67.799,4.794,109.812,1.717,32.214,58.2552,43.184,38.237
ACME UNITED CORP,CT,ACU,2016,3420,92.066,76.596,5.851,124.574,1.934,37.113,85.0203,46.12,45.946
ACME UNITED CORP,CT,ACU,2017,3420,114.73,79.756,4.052,130.55,1.997,40.103,78.9516,49.938,64.792
BK TECHNOLOGIES CORP,NV,BKTI,2008,3663,30.622,9.721,-1.626,19.175,0.41,12.119,9.9241,26.244,4.378
BK TECHNOLOGIES CORP,NV,BKTI,2009,3663,31.421,13.651,2.363,27.989,0.299,10.167,42.1262,28.662,2.759
BK TECHNOLOGIES CORP,NV,BKTI,2010,3663,34.792,13.816,-0.66,25.954,0.328,11.955,24.3162,28.39,6.402
BK TECHNOLOGIES CORP,NV,BKTI,2011,3663,31.847,12.56,-0.493,24.104,0.348,10.785,14.8709,28.069,3.778
BK TECHNOLOGIES CORP,NV,BKTI,2012,3663,33.96,13.156,2.065,27.576,0.254,10.172,22.7556,30.184,3.776
BK TECHNOLOGIES CORP,NV,BKTI,2013,3663,34.023,13.801,1.142,27.023,0.204,10.106,45.7949,31.42,2.603
BK TECHNOLOGIES CORP,NV,BKTI,2014,3663,36.986,16.599,1.623,30.971,0.281,10.659,65.592,33.233,3.753
BK TECHNOLOGIES CORP,NV,BKTI,2015,3663,39.449,16.526,1.041,29.722,0.29,10.852,54.1001,34.82,4.629
BK TECHNOLOGIES CORP,NV,BKTI,2016,3663,42.544,32.67,2.689,50.689,0.334,12.792,65.1938,35.774,6.77
BK TECHNOLOGIES CORP,NV,BKTI,2017,3663,42.801,25.403,-3.626,39.395,0.424,14.151,48.4646,32.007,10.794
ALASKA AIR GROUP INC,DE,ALK,2008,4512,4835.6,3176.1,-135.9,3620.3,14,370,1061.0145,661.9,4173.7
ALASKA AIR GROUP INC,DE,ALK,2009,4512,4985,2522.9,121.6,3399.8,16.8,345.7,1230.025,872.1,4112.9
ALASKA AIR GROUP INC,DE,ALK,2010,4512,5016.6,2762.5,251.1,3832.3,16,354.5,2036.5316,1105.4,3911.2
ALASKA AIR GROUP INC,DE,ALK,2011,4512,5195,3172.5,244.5,4317.8,16.1,410.6,2663.8178,1173.2,4021.8
ALASKA AIR GROUP INC,DE,ALK,2012,4512,5505,3445,316,4657,16,416,3032.5449,1421,4084
ALASKA AIR GROUP INC,DE,ALK,2013,4512,5838,3591,508,4964,28,457,5043.894,2029,3809
ALASKA AIR GROUP INC,DE,ALK,2014,4512,6181,3635,605,5368,49,507,7857.3046,2127,4054
ALASKA AIR GROUP INC,DE,ALK,2015,4512,6533,3381,848,5598,55,567,10077.8393,2411,4122
ALASKA AIR GROUP INC,DE,ALK,2016,4512,9962,3512,814,5931,61,590,10942.8934,2931,7031
ALASKA AIR GROUP INC,DE,ALK,2017,4512,10740,5261,1034,7933,91,922,9046.2141,3721,7019
AMERICAN SOFTWARE  -CL A,GA,AMSWA,2008,7372,120.217,42.013,6.533,89.001,2.3,36.328,156.4517,86.495,28.101
AMERICAN SOFTWARE  -CL A,GA,AMSWA,2009,7372,112.319,33.95,3.016,78.024,1.6,35.1,140.3595,79.839,26.092
AMERICAN SOFTWARE  -CL A,GA,AMSWA,2010,7372,97.175,31.703,5.704,75.276,1.5,33.928,162.1399,72.28,24.895
AMERICAN SOFTWARE  -CL A,GA,AMSWA,2011,7372,104.832,36.947,7.364,85.589,1.7,35.308,202.669,74.056,30.776
AMERICAN SOFTWARE  -CL A,GA,AMSWA,2012,7372,116.553,42.155,11.343,102.636,1.8,40.011,223.8664,83.03,33.523
