ticker,cik_code,auditor,INTERNALCONTROL_EFFECTIVE,year_ended_date,financials_date,fiscal_year,signature_date,NUMBEROFCONTROLWEAKNESS,audit_fees,non_audit_fees,year,big4
MLP,63330,Accuity LLP,Yes,2017-12-31,2017-12-31,2017,2018-02-23,0,206000,29000,2017,0
MLP,63330,Accuity LLP,Yes,2018-12-31,2018-12-31,2018,2019-03-01,0,209000,30000,2018,0
MLP,63330,Accuity LLP,Yes,2019-12-31,2019-12-31,2019,2020-02-28,0,213000,30000,2019,0
RCPIQ,776008,Aidman Piser & Company PA,Yes,2004-12-31,2004-12-31,2004,2005-04-26,0,224209,188081,2004,0
RCPIQ,776008,Aidman Piser & Company PA,Yes,2005-12-31,2005-12-31,2005,2006-03-03,0,382454,92869,2005,0
RCPIQ,776008,Aidman Piser & Company PA,Yes,2006-12-31,2006-12-31,2006,2007-03-15,0,415500,61351,2006,0
RCPIQ,776008,Aidman Piser & Company PA,No,2007-12-31,2007-12-31,2007,2008-03-17,1,381433,35000,2007,0
KNDI,1316517,Albert Wong & Co (Hong Kong),No,2013-12-31,2013-12-31,2013,2014-03-15,4,261000,9330,2013,0
FIZN,719264,Alexander Thompson Arnold PLLC,Yes,2005-12-31,2005-12-31,2005,2006-02-14,0,57803,23897,2005,0
FIZN,719264,Alexander Thompson Arnold PLLC,Yes,2006-12-31,2006-12-31,2006,2007-02-23,0,86310,20506,2006,0
FIZN,719264,Alexander Thompson Arnold PLLC,Yes,2007-12-31,2007-12-31,2007,2008-03-04,0,90300,17088,2007,0
FIZN,719264,Alexander Thompson Arnold PLLC,Yes,2008-12-31,2008-12-31,2008,2009-03-03,0,99500,22215,2008,0
FIZN,719264,Alexander Thompson Arnold PLLC,Yes,2009-12-31,2009-12-31,2009,2010-02-25,0,108350,19726,2009,0
FIZN,719264,Alexander Thompson Arnold PLLC,Yes,2010-12-31,2010-12-31,2010,2011-03-01,0,116069,20665,2010,0
FIZN,719264,Alexander Thompson Arnold PLLC,Yes,2011-12-31,2011-12-31,2011,2012-02-28,0,125601,19070,2011,0
